State,Sample size,Unweighted no. with depression,"Weighted† no. with depression
(thousands)",Prevalence %
Alabama,"5,316","1,252",899,23.50%
Alaska,"3,649",566,87,15.90%
Arizona,"10,224","1,867",992,17.40%
Arkansas,"5,216","1,116",544,23.50%
California,"4,776",758,"4,324",14.10%
Colorado,"10,131","1,836",842,18.50%
Connecticut,"8,929","1,649",500,17.70%
Delaware,"4,010",654,121,15.60%
District of Columbia,"3,410",621,114,19.80%
Florida,"11,746","2,038","2,570",14.70%
Georgia,"9,040","1,618","1,413",17.20%
Hawaii,"7,735","1,098",141,12.70%
Idaho,"5,947","1,058",258,18.90%
Illinois,"3,659",509,"1,435",14.70%
Indiana,"8,435","1,753","1,137",21.90%
Iowa,"9,606","1,541",422,17.40%
Kansas,"10,475","1,820",424,19.20%
Kentucky,"3,918",918,838,24.20%
Louisiana,"4,722","1,089",829,23.50%
Maine,"10,935","2,271",241,22.10%
Maryland,"14,202","2,299",740,15.70%
Massachusetts,"7,127","1,233",990,17.90%
Michigan,"7,237","1,385","1,530",19.50%
Minnesota,"15,781","3,249",864,19.80%
Mississippi,"6,443","1,224",473,20.90%
Missouri,"9,162","1,975","1,086",22.80%
Montana,"6,283","1,310",191,22.60%
Nebraska,"14,748","2,304",245,16.80%
Nevada,"2,471",447,429,17.60%
New Hampshire,"6,411","1,285",238,21.50%
New Jersey,"11,312","1,832","1,055",15.20%
New Mexico,"6,984","1,207",284,17.60%
New York,"14,661","2,559","2,560",16.80%
North Carolina,"5,817","1,201","1,730",20.80%
North Dakota,"4,454",708,112,19.20%
Ohio,"14,592","3,242","2,005",22.00%
Oklahoma,"5,011","1,129",686,22.90%
Oregon,"5,380","1,152",712,21.20%
Pennsylvania,"5,520","1,108","2,056",20.20%
Rhode Island,"5,348","1,135",180,21.10%
South Carolina,"3,996",808,876,21.40%
South Dakota,"6,895",949,108,16.10%
Tennessee,"4,641","1,152","1,296",24.10%
Texas,"10,968","2,215","3,881",17.70%
Utah,"10,861","2,398",537,23.10%
Vermont,"6,511","1,443",118,23.30%
Virginia,"9,490","1,670","1,153",17.20%
Washington,"12,837","3,027","1,412",23.40%
West Virginia,"5,855","1,530",373,26.40%
Wisconsin,"5,078",913,904,19.80%
Wyoming,"4,791",709,81,18.30%
