Feature,Percentage of adults
Oregon,17.2 %
Colorado,19.5 %
California,20 %
Alaska,20.6 %
Utah,21.1 %
Washington,21.4 %
Vermont,21.6 %
Wisconsin,22.4 %
D.C.,23 %
Hawaii,23.5 %
New Hampshire,23.9 %
Connecticut,24 %
Illinois,24 %
Idaho,24.2 %
New Mexico,24.5 %
Minnesota,24.6 %
Massachusetts,24.8 %
South Dakota,24.9 %
Pennsylvania,24.9 %
Mountain,25 %
Iowa,25 %
Arizona,25.1 %
Maine,25.2 %
Nebraska,25.4 %
Maryland,25.6 %
North Carolina,25.6 %
USA,25.6 %
Wyoming,25.7 %
Virginia,25.9 %
Rhode Island,26.3 %
Michigan,27.2 %
New York,27.2 %
North Dakota,27.6 %
Kansas,27.9 %
Snowfall,28 %
South Carolina,28.4 %
New Jersey,29 %
Missouri,29.2 %
Florida,29.2 %
Ohio,29.6 %
Indiana,29.8 %
Tennessee,30.6 %
Georgia,31 %
Delaware,31 %
W.V.,31.6 %
Louisiana,31.8 %
Alabama,32 %
Texas,32.1 %
Oklahoma,32.4 %
Arkansas,32.5 %
Mississippi,33.2 %
Kentucky,34.4 %
