"year","locationabbr","locationdesc","class","topic","question","response","break_out","break_out_category","sample_size","data_value","confidence_limit_low","confidence_limit_high","display_order","data_value_unit","data_value_type","data_value_footnote_symbol","data_value_footnote","datasource","classid","topicid","locationid","breakoutid","breakoutcategoryid","questionid","responseid","geolocation"
"2023","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Overall","Overall","1016","19.5","18","20.9","1","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","BO1","CAT1","ADDEPEV3","RESP046","
,  
(64.84507995700051, -147.72205903599973)"
"2023","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","Overall","Overall","4465","80.5","79.1","82","2","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","BO1","CAT1","ADDEPEV3","RESP054","
,  
(64.84507995700051, -147.72205903599973)"
"2023","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Male","Sex","386","14.7","12.9","16.5","3","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","SEX1","CAT2","ADDEPEV3","RESP046","
,  
(64.84507995700051, -147.72205903599973)"
"2023","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","Male","Sex","2400","85.3","83.5","87.1","4","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","SEX1","CAT2","ADDEPEV3","RESP054","
,  
(64.84507995700051, -147.72205903599973)"
"2023","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","Female","Sex","630","24.6","22.3","26.9","5","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","SEX2","CAT2","ADDEPEV3","RESP046","
,  
(64.84507995700051, -147.72205903599973)"
"2023","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","Female","Sex","2065","75.4","73.1","77.7","6","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","SEX2","CAT2","ADDEPEV3","RESP054","
,  
(64.84507995700051, -147.72205903599973)"
"2023","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","18-24","Age Group","76","23.5","17.9","29.1","7","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","AGE01","CAT3","ADDEPEV3","RESP046","
,  
(64.84507995700051, -147.72205903599973)"
"2023","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","18-24","Age Group","258","76.5","70.9","82.1","8","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","AGE01","CAT3","ADDEPEV3","RESP054","
,  
(64.84507995700051, -147.72205903599973)"
"2023","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","25-34","Age Group","149","25.1","20.8","29.4","9","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","AGE02","CAT3","ADDEPEV3","RESP046","
,  
(64.84507995700051, -147.72205903599973)"
"2023","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","25-34","Age Group","475","74.9","70.6","79.2","10","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","AGE02","CAT3","ADDEPEV3","RESP054","
,  
(64.84507995700051, -147.72205903599973)"
"2023","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","35-44","Age Group","170","20.7","17.2","24.2","11","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","AGE03","CAT3","ADDEPEV3","RESP046","
,  
(64.84507995700051, -147.72205903599973)"
"2023","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","35-44","Age Group","639","79.3","75.8","82.8","12","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","AGE03","CAT3","ADDEPEV3","RESP054","
,  
(64.84507995700051, -147.72205903599973)"
"2023","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","45-54","Age Group","167","19","15.7","22.3","13","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","AGE04","CAT3","ADDEPEV3","RESP046","
,  
(64.84507995700051, -147.72205903599973)"
"2023","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","45-54","Age Group","676","81","77.7","84.3","14","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","AGE04","CAT3","ADDEPEV3","RESP054","
,  
(64.84507995700051, -147.72205903599973)"
"2023","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","55-64","Age Group","200","18.7","15.5","22","15","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","AGE05","CAT3","ADDEPEV3","RESP046","
,  
(64.84507995700051, -147.72205903599973)"
"2023","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","55-64","Age Group","816","81.3","78","84.5","16","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","AGE05","CAT3","ADDEPEV3","RESP054","
,  
(64.84507995700051, -147.72205903599973)"
"2023","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","65+","Age Group","254","11.7","9.9","13.6","17","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","AGE09","CAT3","ADDEPEV3","RESP046","
,  
(64.84507995700051, -147.72205903599973)"
"2023","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","65+","Age Group","1601","88.3","86.4","90.1","18","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","AGE09","CAT3","ADDEPEV3","RESP054","
,  
(64.84507995700051, -147.72205903599973)"
"2023","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","Yes","White, non-Hispanic","Race/Ethnicity","753","20.7","19","22.5","19","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","RACE01","CAT4","ADDEPEV3","RESP046","
,  
(64.84507995700051, -147.72205903599973)"
"2023","AK","Alaska","Chronic Health Indicators","Depression","Ever told you that you have a form of depression?","No","White, non-Hispanic","Race/Ethnicity","3191","79.3","77.5","81","20","%","Crude Prevalence",,,"BRFSS","CLASS03","TOPIC17","02","RACE01","CAT4","ADDEPEV3","RESP054","
,  
(64.84507995700051, -147.72205903599973)"
